year,count,duration
1940,4853,3286908
1941,6869,6007719
1942,9663,7307900
1943,9336,8079716
1944,8371,6528881
1945,11991,7932976
1946,18695,15770090
1947,24472,21177165
1948,27291,20428856
1949,29108,25431473
1950,36563,31793056
1951,48509,41066722
1952,50197,42844340
1953,79875,65582837
1954,91829,76995998
1955,98507,82777595
1956,125099,100285677
1957,134760,114372728
1958,152041,122374634
1959,169478,139494120
1960,205633,165893986
1961,198536,165818519
1962,235336,206788443
1963,246903,204093153
1964,264257,208929431
1965,270559,224562583
1966,270710,221150459
1967,291239,230072433
1968,298985,250031155
1969,1738461,3494446203
1970,357617,298101239
1971,329322,277024423
1972,325188,279582443
1973,318932,267215736
1974,330020,275756065
1975,353496,296807811
1976,365029,306021552
1977,369078,313428626
1978,381991,313939987
1979,440172,370393305
1980,478847,399505743
1981,503834,418903775
1982,532999,434415699
1983,579094,508398709
1984,623856,527784900
1985,670751,566456488
1986,688385,600041388
1987,745346,653946691
1988,823191,709819843
1989,875558,878283595
1990,869066,768848263
1991,834835,734318290
1992,817726,731586843
1993,753630,668474120
1994,667008,605946578
1995,563725,545739319
1996,364774,387903040
1997,240918,265611636
1998,178735,197100479
1999,162613,185275648
2000,124819,156601654
2001,62622,69588876
2002,27200,35402584
2003,10357,16106517
UNK,27784,22875255
